Source_name,RA,E_RA,DEC,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,Maj,E_Maj,Min,E_Min,PA,E_PA,RMS_noise,Source_code,Mosaic_name
TGSSADR J161619.5+160031,244.08131,2.3,16.00877,2.3,47.9,8.5,42.4,6.0,27.2,2.8,26.0,2.5,67.9,90.0,4.1,S,R49D44
TGSSADR J161609.7+161513,244.04076,2.1,16.25371,2.1,98.1,12.3,82.6,9.4,28.5,1.6,26.1,1.4,-8.0,26.4,4.3,S,R49D44
TGSSADR J162202.9+160029,245.51225,2.4,16.00815,2.6,73.5,11.1,49.5,7.3,32.6,3.8,28.6,3.0,1.7,36.0,5.1,S,R50D43
TGSSADR J162136.0+160040,245.40025,2.1,16.01126,2.2,97.8,13.2,81.2,9.7,28.7,2.0,26.4,1.7,-17.9,33.8,5.2,C,R50D43
TGSSADR J162138.0+160058,245.40852,2.3,16.01636,2.4,80.9,11.8,57.3,7.9,33.5,3.5,26.5,2.3,40.4,18.9,5.2,C,R50D43
TGSSADR J162337.3+175911,245.90561,2.1,17.98641,2.1,109.4,15.1,104.0,12.1,27.0,1.7,24.4,1.4,67.5,24.8,6.0,S,R50D45
TGSSADR J162336.1+172205,245.90059,2.4,17.3681,3.1,98.5,14.0,54.1,8.7,40.2,5.7,28.3,3.1,9.0,18.1,6.4,S,R50D45
TGSSADR J162324.2+163950,245.85094,2.6,16.66411,2.4,63.6,10.7,47.0,7.2,32.5,4.1,26.1,2.7,68.1,24.1,5.1,S,R50D45
TGSSADR J162257.8+175247,245.741,2.0,17.87983,2.1,242.1,26.8,184.1,19.8,30.7,1.3,26.8,1.0,13.1,12.8,6.8,S,R50D45
TGSSADR J162256.6+170009,245.73599,2.2,17.00253,2.2,94.5,13.9,83.1,10.3,27.2,2.0,26.2,1.9,36.1,84.3,6.0,S,R50D45
TGSSADR J162251.3+171441,245.71387,2.0,17.24487,2.0,843.2,86.1,412.9,41.8,39.8,0.8,28.6,0.5,-82.7,2.7,6.6,M,R50D45
TGSSADR J162236.6+165726,245.6528,2.1,16.95729,2.1,165.6,19.8,144.1,15.9,27.3,1.3,26.3,1.2,46.1,55.2,6.4,S,R50D45
TGSSADR J162201.7+160837,245.50717,2.1,16.14368,2.1,133.3,16.1,120.5,13.2,26.8,1.2,25.8,1.1,20.1,48.8,5.3,S,R50D45
TGSSADR J162113.0+164447,245.30421,2.0,16.74645,2.0,1316.9,133.3,982.0,98.5,37.0,0.4,26.0,0.2,-25.3,1.2,7.6,M,R50D45
TGSSADR J162114.6+164416,245.31093,2.0,16.73797,2.0,538.7,55.4,502.8,50.9,26.0,0.4,25.8,0.4,-41.7,90.0,7.6,C,R50D45
TGSSADR J162116.3+175526,245.31798,2.1,17.92395,2.2,151.0,19.8,115.6,14.1,30.5,2.2,26.8,1.7,5.7,23.3,7.6,S,R50D45
TGSSADR J162021.5+173630,245.08972,2.0,17.60854,2.0,16503.1,1650.8,5924.4,592.5,57.1,0.2,30.3,0.1,-58.3,0.2,9.1,M,R50D45
TGSSADR J162022.9+172715,245.09549,2.7,17.45437,2.5,138.1,20.1,82.6,12.8,35.7,4.5,29.3,3.2,62.2,27.4,9.1,S,R50D45
TGSSADR J162011.6+165055,245.04871,2.4,16.84864,2.5,72.4,14.6,61.5,9.9,28.2,3.7,26.1,3.2,34.1,66.4,7.5,S,R50D45
TGSSADR J161939.9+172508,244.91663,2.0,17.41896,2.0,1098.3,110.9,999.7,100.4,26.6,0.2,25.9,0.2,29.0,13.9,8.8,S,R50D45
TGSSADR J161905.6+173749,244.77338,2.0,17.63042,2.0,445.7,46.6,339.3,35.0,32.2,0.9,25.5,0.6,58.4,4.9,8.2,S,R50D45
TGSSADR J161852.3+172555,244.71803,2.1,17.43219,2.1,182.6,22.8,165.2,18.4,27.4,1.4,25.2,1.2,3.0,24.4,8.0,S,R50D45
TGSSADR J161850.0+163943,244.70871,2.0,16.662,2.0,1136.4,115.1,598.5,60.2,42.8,0.7,24.9,0.3,-73.5,1.3,6.8,M,R50D45
TGSSADR J161849.1+172109,244.70486,2.0,17.35252,2.1,834.8,85.5,379.2,38.7,42.7,1.3,26.2,0.6,79.3,2.8,7.9,M,R50D45
TGSSADR J161838.1+171743,244.65909,2.0,17.29549,2.0,301.3,32.9,272.8,28.4,27.3,0.8,25.3,0.7,1.0,16.4,7.7,S,R50D45
TGSSADR J161831.8+160858,244.63274,2.0,16.14953,2.0,359.1,37.2,286.1,29.2,31.1,0.7,25.2,0.5,64.0,4.4,5.8,S,R50D45
TGSSADR J161750.7+174911,244.46162,2.0,17.81974,2.0,224.2,25.5,222.1,23.3,25.4,0.8,24.8,0.8,-79.2,56.1,7.0,S,R50D45
TGSSADR J161745.4+174752,244.43936,2.1,17.79798,2.1,110.6,16.4,104.3,12.6,26.6,1.9,24.9,1.7,39.8,44.4,7.0,S,R50D45
TGSSADR J161745.0+163118,244.43765,2.1,16.52194,2.1,238.0,25.6,151.5,16.3,37.8,1.8,26.0,0.9,62.9,5.2,5.8,S,R50D45
TGSSADR J161720.5+171458,244.33571,2.1,17.24944,2.1,157.0,20.1,144.9,16.3,28.0,1.5,24.2,1.2,46.8,15.3,7.3,S,R50D45
TGSSADR J161656.0+170809,244.23375,2.1,17.13588,2.0,182.2,21.3,167.9,18.0,27.0,1.1,25.2,1.0,-71.1,23.6,6.5,S,R50D45
TGSSADR J161653.7+174909,244.22391,3.0,17.81919,2.7,144.8,17.4,61.9,9.4,46.1,5.9,31.8,3.3,-53.8,15.6,6.7,S,R50D45
TGSSADR J161652.4+170218,244.21858,2.1,17.03841,2.4,213.7,23.3,112.5,12.9,43.8,2.9,27.1,1.3,2.4,6.0,6.1,S,R50D45
TGSSADR J161617.3+174520,244.0724,2.2,17.7557,2.3,91.4,14.6,78.7,10.4,28.4,2.6,25.6,2.1,-37.9,35.7,6.7,S,R50D45
