band,decl,decl_err,eta_int,extract_type,f_datapoints,f_int,f_int_err,freq_eff,ra,ra_err,runcatid,tau_time,taustart_ts,v_int,xtrsrc
23,27.2155483653,0.116691470931,0.0,0,1,19.3574060419,5.93698017249,61816408.0,197.812466014,0.120248225128,198,1.0,2017-02-25 01:30:10,0.0,8931
24,27.2145787072,0.118926863943,0.0,0,1,21.7707094102,6.80522738907,58320312.0,197.819941457,0.122553076751,198,1.0,2017-02-25 01:30:10,0.0,8884
23,27.2655797569,0.122164043933,0.00266625453744,0,2,19.8067837457,6.36330040706,61816408.0,197.865928174,0.126013377308,198,1.0,2017-02-25 01:30:11,0.0162269677159,9013
24,27.2150727706,0.130135619059,0.0605424895922,1,2,19.4301147972,6.64658687655,58346356.0,197.816132545,0.134108148135,198,1.0,2017-02-25 01:30:11,0.0803406414639,9053
24,27.2569518597,0.118163376732,0.0438838839325,0,3,21.944415067,6.8184664814,58320312.0,197.873563745,0.121867803793,198,1.0,2017-02-25 01:30:12,0.0667117309855,9083
23,27.2819129633,0.126698595329,0.0127987238019,0,3,18.4277205236,6.14103859773,61816408.0,197.864027629,0.130727679413,198,1.0,2017-02-25 01:30:12,0.0366371158208,9129
23,27.2207690415,0.109083152379,0.0255586107839,0,4,20.7523434015,5.94980179375,61816408.0,197.840149819,0.112418994992,198,1.0,2017-02-25 01:30:13,0.0493516136225,9249
24,27.2586156264,0.128907314891,0.0442519240702,0,4,22.8618219184,7.74999959274,58300780.0,197.860790497,0.132952478927,198,1.0,2017-02-25 01:30:13,0.0679807771438,9208
23,27.2607524378,0.112278301153,0.0236256229589,0,5,20.5018325987,6.05302099592,61816408.0,197.900579965,0.115808490556,198,1.0,2017-02-25 01:30:14,0.0471397909595,9379
24,27.2156845256,0.121551423982,0.0373750886797,0,5,22.4244175277,7.16491544473,58346356.0,197.871197083,0.125272075186,198,1.0,2017-02-25 01:30:14,0.0613948464701,9342
23,27.2347051266,0.108214663608,0.0261242281572,0,6,21.0287917067,5.98204282533,61816408.0,197.879564897,0.111558746341,198,1.0,2017-02-25 01:30:15,0.0490203987459,9529
24,27.2396816429,0.117626154138,0.0406277746851,0,6,23.4180860477,7.24191732816,58346356.0,197.866577369,0.121271787422,198,1.0,2017-02-25 01:30:15,0.063022800287,9481
23,27.2232879297,0.127472174596,0.0233135539399,0,7,19.3266464397,6.47664210671,61816408.0,197.876749407,0.13139333149,198,1.0,2017-02-25 01:30:16,0.0466382029895,9664
24,27.2645740514,0.107460922143,0.0551668122872,0,7,24.565160748,6.94069599437,58346356.0,197.850049091,0.110828628572,198,1.0,2017-02-25 01:30:16,0.0715599152352,9626
23,27.3212702874,0.105654878169,0.0521273064651,0,8,23.1523695892,6.43481974497,61816408.0,197.873749549,0.109076113546,198,1.0,2017-02-25 01:30:17,0.0709111864485,9814
24,27.2060414852,0.119652724202,0.0474350425319,0,8,22.5167229981,7.08075959787,58346356.0,197.837549963,0.123279821766,198,1.0,2017-02-25 01:30:17,0.0662436754665,9772
23,27.2867479162,0.100027605844,0.074984814902,0,9,23.4507307064,6.16822559944,61816408.0,197.864691672,0.103200344827,198,1.0,2017-02-25 01:30:18,0.0827588582537,9965
24,27.2260269551,0.108799306461,0.0680122709404,0,9,25.9003964276,7.40673314284,58346356.0,197.858460936,0.112135664443,198,1.0,2017-02-25 01:30:18,0.079920855948,9925
24,27.2361682156,0.106605148584,0.070766092716,0,10,24.9115456657,6.98041028881,58320312.0,197.835488565,0.10988495845,198,1.0,2017-02-25 01:30:19,0.0803089038749,10068
